Liste des candidats,Voix,% Inscrits,% Exprimés,Commune
Mme Valérie PÉCRESSE,213,1.3,3.74,Sainte-Marie
Mme Anne HIDALGO,131,0.8,2.3,Sainte-Marie
M. Nicolas DUPONT-AIGNAN,111,0.68,1.95,Sainte-Marie
M. Éric ZEMMOUR,100,0.61,1.76,Sainte-Marie
Mme Nathalie ARTHAUD,84,0.51,1.48,Sainte-Marie
M. Philippe POUTOU,56,0.34,0.98,Sainte-Marie
M. Jean LASSALLE,55,0.33,0.97,Sainte-Marie
M. Yannick JADOT,36,0.22,0.63,Sainte-Marie
M. Fabien ROUSSEL,32,0.19,0.56,Sainte-Marie
M. Jean-Luc MÉLENCHON,4061,26.58,51.3,Schoelcher
M. Emmanuel MACRON,1588,10.39,20.06,Schoelcher
Mme Marine LE PEN,788,5.16,9.95,Schoelcher
Mme Valérie PÉCRESSE,376,2.46,4.75,Schoelcher
Mme Anne HIDALGO,231,1.51,2.92,Schoelcher
M. Éric ZEMMOUR,209,1.37,2.64,Schoelcher
M. Yannick JADOT,200,1.31,2.53,Schoelcher
M. Nicolas DUPONT-AIGNAN,200,1.31,2.53,Schoelcher
M. Jean LASSALLE,80,0.52,1.01,Schoelcher
Mme Nathalie ARTHAUD,68,0.45,0.86,Schoelcher
M. Philippe POUTOU,61,0.4,0.77,Schoelcher
M. Fabien ROUSSEL,54,0.35,0.68,Schoelcher
